Date,Country,JCVIPriorityGroup,Population,PopulationQF,Dose,CumulativeNumberVaccinated,CumulativePercentCoverage,CumulativePercentCoverageQF,AgeBand
20210413,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,166628,,z,All vaccinations
20210413,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,4117,,z,All vaccinations
20210415,S92000003,1 - All Care Home Residents,,:,Dose 1,34459,,z,All vaccinations
20210415,S92000003,1 - All Care Home Residents,,:,Dose 2,29514,,z,All vaccinations
20210415,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 1,26831,96.8907987866532,,All vaccinations
20210415,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 2,24843,89.7118301314459,,All vaccinations
20210415,S92000003,1 - Care Home Staff,50000,,Dose 1,52392,104.784,,All vaccinations
20210415,S92000003,1 - Care Home Staff,50000,,Dose 2,45113,90.226,,All vaccinations
20210415,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,354006,,z,All vaccinations
20210415,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,282737,,z,All vaccinations
20210415,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,94652,90.1344608235249,,All vaccinations
20210415,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,81760,77.8577686359654,,All vaccinations
20210415,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96077,81.4453439579536,,All vaccinations
20210415,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,73404,62.2252362989022,,All vaccinations
20210415,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 1,170680,94.0707018375423,,All vaccinations
20210415,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 2,55895,30.8066667401537,,All vaccinations
20210415,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 1,657658,86.1580262957936,,All vaccinations
20210415,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 2,84303,11.0443119232402,,All vaccinations
20210415,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,176383,,z,All vaccinations
20210415,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,4544,,z,All vaccinations
20210416,S92000003,1 - All Care Home Residents,,:,Dose 1,34501,,z,All vaccinations
20210416,S92000003,1 - All Care Home Residents,,:,Dose 2,29582,,z,All vaccinations
20210416,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 1,26835,96.9052433915932,,All vaccinations
20210416,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 2,24893,89.8923876931966,,All vaccinations
20210416,S92000003,1 - Care Home Staff,50000,,Dose 1,52477,104.954,,All vaccinations
20210416,S92000003,1 - Care Home Staff,50000,,Dose 2,45299,90.598,,All vaccinations
20210416,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,355140,,z,All vaccinations
20210416,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,285826,,z,All vaccinations
20210416,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,94718,90.1973107835295,,All vaccinations
20210416,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,82054,78.1377366396221,,All vaccinations
20210416,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96241,81.5843682448184,,All vaccinations
20210416,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,74162,62.8677997711185,,All vaccinations
20210416,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 1,170757,94.1131405769464,,All vaccinations
20210416,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 2,62046,34.196805520343,,All vaccinations
20210416,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 1,658625,86.2847103951705,,All vaccinations
20210416,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 2,88691,11.6191721384066,,All vaccinations
20210416,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,181051,,z,All vaccinations
20210416,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,4890,,z,All vaccinations
20210417,S92000003,1 - All Care Home Residents,,:,Dose 1,34508,,z,All vaccinations
20210417,S92000003,1 - All Care Home Residents,,:,Dose 2,29591,,z,All vaccinations
20210417,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 1,26836,96.9088545428283,,All vaccinations
20210417,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 2,24903,89.9284992055467,,All vaccinations
20210417,S92000003,1 - Care Home Staff,50000,,Dose 1,52705,105.41,,All vaccinations
20210417,S92000003,1 - Care Home Staff,50000,,Dose 2,45447,90.894,,All vaccinations
20210417,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,358605,,z,All vaccinations
20210417,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,287632,,z,All vaccinations
20210417,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95002,90.4677560659734,,All vaccinations
20210417,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,82306,78.377709214185,,All vaccinations
20210417,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96702,81.9751621243589,,All vaccinations
20210417,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,74583,63.2246852880092,,All vaccinations
20210417,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 1,170827,94.1517212491319,,All vaccinations
20210417,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 2,66152,36.4598375202549,,All vaccinations
20210417,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 1,659503,86.3997348411405,,All vaccinations
20210417,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 2,91140,11.940009118111,,All vaccinations
20210417,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,185186,,z,All vaccinations
20210417,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,5146,,z,All vaccinations
20210418,S92000003,1 - All Care Home Residents,,:,Dose 1,34509,,z,All vaccinations
20210418,S92000003,1 - All Care Home Residents,,:,Dose 2,29597,,z,All vaccinations
20210418,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 1,26836,96.9088545428283,,All vaccinations
20210418,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 2,24907,89.9429438104868,,All vaccinations
20210418,S92000003,1 - Care Home Staff,50000,,Dose 1,52726,105.452,,All vaccinations
20210418,S92000003,1 - Care Home Staff,50000,,Dose 2,45502,91.004,,All vaccinations
20210418,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,359024,,z,All vaccinations
20210418,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,288705,,z,All vaccinations
20210418,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95016,90.4810878756713,,All vaccinations
20210418,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,82382,78.4500818954024,,All vaccinations
20210418,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96750,82.0158521595389,,All vaccinations
20210418,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,74799,63.4077904463188,,All vaccinations
20210418,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 1,170853,94.1660512130866,,All vaccinations
20210418,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 2,70068,38.6181505528059,,All vaccinations
20210418,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 1,659849,86.4450633813519,,All vaccinations
20210418,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 2,93444,12.2418500332759,,All vaccinations
20210418,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,187090,,z,All vaccinations
20210418,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,5343,,z,All vaccinations
20210419,S92000003,1 - All Care Home Residents,,:,Dose 1,34538,,z,All vaccinations
20210419,S92000003,1 - All Care Home Residents,,:,Dose 2,29683,,z,All vaccinations
20210419,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 1,26840,96.9232991477683,,All vaccinations
20210419,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 2,24968,90.1632240358226,,All vaccinations
20210419,S92000003,1 - Care Home Staff,50000,,Dose 1,52783,105.566,,All vaccinations
20210419,S92000003,1 - Care Home Staff,50000,,Dose 2,45594,91.188,,All vaccinations
20210419,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,359758,,z,All vaccinations
20210419,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,290921,,z,All vaccinations
20210419,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95054,90.51727421628,,All vaccinations
20210419,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,82592,78.6500590408715,,All vaccinations
20210419,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96829,82.0828211757725,,All vaccinations
20210419,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,75310,63.8409697791718,,All vaccinations
20210419,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 1,170893,94.1880973114783,,All vaccinations
20210419,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 2,73055,40.2644429502089,,All vaccinations
20210419,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 1,660065,86.4733609671486,,All vaccinations
20210419,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 2,95304,12.4855236887475,,All vaccinations
20210419,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,187488,,z,All vaccinations
20210419,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,5589,,z,All vaccinations
20210420,S92000003,1 - All Care Home Residents,,:,Dose 1,34597,,z,All vaccinations
20210420,S92000003,1 - All Care Home Residents,,:,Dose 2,29764,,z,All vaccinations
20210420,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 1,26840,96.9232991477683,,All vaccinations
20210420,S92000003,1 - Care Home Residents - Older Adults,27692,,Dose 2,24992,90.2498916654629,,All vaccinations
20210420,S92000003,1 - Care Home Staff,50000,,Dose 1,52825,105.65,,All vaccinations
20210420,S92000003,1 - Care Home Staff,50000,,Dose 2,45709,91.418,,All vaccinations
20210420,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,360454,,z,All vaccinations
20210420,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,293076,,z,All vaccinations
20210420,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95089,90.5506037405249,,All vaccinations
20210420,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,82850,78.8957452481621,,All vaccinations
20210420,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96881,82.1269020472174,,All vaccinations
20210420,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,75835,64.2860170389522,,All vaccinations
20210420,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 1,171011,94.2531333017339,,All vaccinations
20210420,S92000003,4 - Clinically Extremely Vulnerable,181438,,Dose 2,79346,43.7317430747693,,All vaccinations
20210420,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 1,660365,86.512663169644,,All vaccinations
20210420,S92000003,6 - 16 to 64 year olds with underlying health conditions,763316,,Dose 2,99690,13.0601218892307,,All vaccinations
20210420,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,188190,,z,All vaccinations
20210420,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,6020,,z,All vaccinations
20210421,S92000003,1 - All Care Home Residents,,:,Dose 1,34651,,z,All vaccinations
20210421,S92000003,1 - All Care Home Residents,,:,Dose 2,29827,,z,All vaccinations
20210421,S92000003,1 - Care Home Residents - Older Adults,27535,,Dose 1,26690,96.9311785000908,,All vaccinations
20210421,S92000003,1 - Care Home Residents - Older Adults,27535,,Dose 2,24874,90.335936081351,,All vaccinations
20210421,S92000003,1 - Care Home Staff,50000,,Dose 1,52881,105.762,,All vaccinations
20210421,S92000003,1 - Care Home Staff,50000,,Dose 2,45831,91.662,,All vaccinations
20210421,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,361028,,z,All vaccinations
20210421,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,295159,,z,All vaccinations
20210421,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95113,90.5734582714356,,All vaccinations
20210421,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,83071,79.1061973869653,,All vaccinations
20210421,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96936,82.173526045861,,All vaccinations
20210421,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,76303,64.6827448819565,,All vaccinations
20210421,S92000003,4 - Clinically Extremely Vulnerable,181169,,Dose 1,170842,94.2997974267121,,All vaccinations
20210421,S92000003,4 - Clinically Extremely Vulnerable,181169,,Dose 2,84844,46.831411554957,,All vaccinations
20210421,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 1,660623,86.5641543057812,,All vaccinations
20210421,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 2,103607,13.5760522039939,,All vaccinations
20210421,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,189099,,z,All vaccinations
20210421,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,6490,,z,All vaccinations
20210422,S92000003,1 - All Care Home Residents,,:,Dose 1,34699,,z,All vaccinations
20210422,S92000003,1 - All Care Home Residents,,:,Dose 2,29891,,z,All vaccinations
20210422,S92000003,1 - Care Home Residents - Older Adults,27535,,Dose 1,26695,96.9493372071909,,All vaccinations
20210422,S92000003,1 - Care Home Residents - Older Adults,27535,,Dose 2,24902,90.4376248411113,,All vaccinations
20210422,S92000003,1 - Care Home Staff,50000,,Dose 1,52961,105.922,,All vaccinations
20210422,S92000003,1 - Care Home Staff,50000,,Dose 2,46006,92.012,,All vaccinations
20210422,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,361662,,z,All vaccinations
20210422,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,297426,,z,All vaccinations
20210422,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95145,90.6039309793166,,All vaccinations
20210422,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,83353,79.3747381251666,,All vaccinations
20210422,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,96990,82.2193023354385,,All vaccinations
20210422,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,76756,65.0667570889671,,All vaccinations
20210422,S92000003,4 - Clinically Extremely Vulnerable,181169,,Dose 1,170889,94.3257400548659,,All vaccinations
20210422,S92000003,4 - Clinically Extremely Vulnerable,181169,,Dose 2,91464,50.4854583289636,,All vaccinations
20210422,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 1,660933,86.6047748833796,,All vaccinations
20210422,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 2,108457,14.2115676922271,,All vaccinations
20210422,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,190376,,z,All vaccinations
20210422,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,7052,,z,All vaccinations
20210423,S92000003,1 - All Care Home Residents,,:,Dose 1,34759,,z,All vaccinations
20210423,S92000003,1 - All Care Home Residents,,:,Dose 2,29971,,z,All vaccinations
20210423,S92000003,1 - Care Home Residents - Older Adults,27535,,Dose 1,26701,96.9711276557109,,All vaccinations
20210423,S92000003,1 - Care Home Residents - Older Adults,27535,,Dose 2,24944,90.5901579807518,,All vaccinations
20210423,S92000003,1 - Care Home Staff,50000,,Dose 1,53004,106.008,,All vaccinations
20210423,S92000003,1 - Care Home Staff,50000,,Dose 2,46100,92.2,,All vaccinations
20210423,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,361600,,z,All vaccinations
20210423,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,298829,,z,All vaccinations
20210423,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95193,90.6496400411382,,All vaccinations
20210423,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,83523,79.5366243857845,,All vaccinations
20210423,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97063,82.2811850972746,,All vaccinations
20210423,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,77164,65.4126223879964,,All vaccinations
20210423,S92000003,4 - Clinically Extremely Vulnerable,181169,,Dose 1,170969,94.3698977198086,,All vaccinations
20210423,S92000003,4 - Clinically Extremely Vulnerable,181169,,Dose 2,98624,54.4375693413332,,All vaccinations
20210423,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 1,661345,86.6587609413491,,All vaccinations
20210423,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 2,113860,14.9195450495309,,All vaccinations
20210423,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,192886,,z,All vaccinations
20210423,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,7644,,z,All vaccinations
20210425,S92000003,1 - All Care Home Residents,,:,Dose 1,34948,,z,All vaccinations
20210425,S92000003,1 - All Care Home Residents,,:,Dose 2,30352,,z,All vaccinations
20210425,S92000003,1 - Care Home Residents - Older Adults,28764,,Dose 1,27855,96.8397997496871,,All vaccinations
20210425,S92000003,1 - Care Home Residents - Older Adults,28764,,Dose 2,25822,89.7719371436518,,All vaccinations
20210425,S92000003,1 - Care Home Staff,50000,,Dose 1,53030,106.06,,All vaccinations
20210425,S92000003,1 - Care Home Staff,50000,,Dose 2,46174,92.348,,All vaccinations
20210425,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,361999,,z,All vaccinations
20210425,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,299819,,z,All vaccinations
20210425,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95222,90.6772559326553,,All vaccinations
20210425,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,83646,79.6537538567021,,All vaccinations
20210425,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97118,82.3278090959183,,All vaccinations
20210425,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,77484,65.683889289196,,All vaccinations
20210425,S92000003,4 - Clinically Extremely Vulnerable,182235,,Dose 1,172031,94.4006365407304,,All vaccinations
20210425,S92000003,4 - Clinically Extremely Vulnerable,182235,,Dose 2,110721,60.7572639723434,,All vaccinations
20210425,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 1,661863,86.7266366161749,,All vaccinations
20210425,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 2,124872,16.3624927931233,,All vaccinations
20210425,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,194737,,z,All vaccinations
20210425,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,8877,,z,All vaccinations
20210426,S92000003,1 - All Care Home Residents,,:,Dose 1,34999,,z,All vaccinations
20210426,S92000003,1 - All Care Home Residents,,:,Dose 2,30478,,z,All vaccinations
20210426,S92000003,1 - Care Home Residents - Older Adults,28764,,Dose 1,27862,96.8641357252121,,All vaccinations
20210426,S92000003,1 - Care Home Residents - Older Adults,28764,,Dose 2,25886,89.9944374913086,,All vaccinations
20210426,S92000003,1 - Care Home Staff,50000,,Dose 1,53048,106.096,,All vaccinations
20210426,S92000003,1 - Care Home Staff,50000,,Dose 2,46253,92.506,,All vaccinations
20210426,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,362460,,z,All vaccinations
20210426,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,301257,,z,All vaccinations
20210426,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95242,90.696301375081,,All vaccinations
20210426,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,83806,79.8061173961071,,All vaccinations
20210426,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97167,82.3693468401645,,All vaccinations
20210426,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,77798,65.950069935998,,All vaccinations
20210426,S92000003,4 - Clinically Extremely Vulnerable,182235,,Dose 1,172057,94.4149038329629,,All vaccinations
20210426,S92000003,4 - Clinically Extremely Vulnerable,182235,,Dose 2,115042,63.1283781929926,,All vaccinations
20210426,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 1,662108,86.7587399758897,,All vaccinations
20210426,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 2,128927,16.8938361549347,,All vaccinations
20210426,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,195219,,z,All vaccinations
20210426,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,9388,,z,All vaccinations
20210427,S92000003,1 - All Care Home Residents,,:,Dose 1,35049,,z,All vaccinations
20210427,S92000003,1 - All Care Home Residents,,:,Dose 2,30576,,z,All vaccinations
20210427,S92000003,1 - Care Home Residents - Older Adults,28764,,Dose 1,27868,96.88499513,,All vaccinations
20210427,S92000003,1 - Care Home Residents - Older Adults,28764,,Dose 2,25954,90.23084411,,All vaccinations
20210427,S92000003,1 - Care Home Staff,50000,,Dose 1,53081,106.162,,All vaccinations
20210427,S92000003,1 - Care Home Staff,50000,,Dose 2,46334,92.668,,All vaccinations
20210427,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,363230,,z,All vaccinations
20210427,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,302935,,z,All vaccinations
20210427,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95277,90.7296309,,All vaccinations
20210427,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,84053,80.04132861,,All vaccinations
20210427,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97221,82.41512313,,All vaccinations
20210427,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,78159,66.25609291,,All vaccinations
20210427,S92000003,4 - Clinically Extremely Vulnerable,182235,,Dose 1,172101,94.43904848,,All vaccinations
20210427,S92000003,4 - Clinically Extremely Vulnerable,182235,,Dose 2,120539,66.14481302,,All vaccinations
20210427,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 1,662390,86.7956916,,All vaccinations
20210427,S92000003,6 - 16 to 64 year olds with underlying health conditions,763160,,Dose 2,134344,17.60364799,,All vaccinations
20210427,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,195612,,z,All vaccinations
20210427,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,9988,,z,All vaccinations
20210428,S92000003,1 - All Care Home Residents,,:,Dose 1,35104,,z,All vaccinations
20210428,S92000003,1 - All Care Home Residents,,:,Dose 2,30681,,z,All vaccinations
20210428,S92000003,1 - Care Home Residents - Older Adults,28568,,Dose 1,27692,96.9336320358443,,All vaccinations
20210428,S92000003,1 - Care Home Residents - Older Adults,28568,,Dose 2,25870,90.5558667040045,,All vaccinations
20210428,S92000003,1 - Care Home Staff,50000,,Dose 1,53128,106.256,,All vaccinations
20210428,S92000003,1 - Care Home Staff,50000,,Dose 2,46508,93.016,,All vaccinations
20210428,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,363759,,z,All vaccinations
20210428,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,304599,,z,All vaccinations
20210428,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95311,90.7620081514494,,All vaccinations
20210428,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,84244,80.2232125852284,,All vaccinations
20210428,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97271,82.4575085830543,,All vaccinations
20210428,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,78546,66.5841563175518,,All vaccinations
20210428,S92000003,4 - Clinically Extremely Vulnerable,181961,,Dose 1,171910,94.4762888750886,,All vaccinations
20210428,S92000003,4 - Clinically Extremely Vulnerable,181961,,Dose 2,125390,68.9103709036552,,All vaccinations
20210428,S92000003,6 - 16 to 64 year olds with underlying health conditions,763021,,Dose 1,662695,86.8514759095752,,All vaccinations
20210428,S92000003,6 - 16 to 64 year olds with underlying health conditions,763021,,Dose 2,142210,18.6377570211043,,All vaccinations
20210428,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,196586,,z,All vaccinations
20210428,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,10814,,z,All vaccinations
20210430,S92000003,1 - All Care Home Residents,,:,Dose 1,35167,,z,All vaccinations
20210430,S92000003,1 - All Care Home Residents,,:,Dose 2,30953,,z,All vaccinations
20210430,S92000003,1 - Care Home Residents - Older Adults,28568,,Dose 1,27702,96.9686362363484,,All vaccinations
20210430,S92000003,1 - Care Home Residents - Older Adults,28568,,Dose 2,25970,90.9059087090451,,All vaccinations
20210430,S92000003,1 - Care Home Staff,50000,,Dose 1,53228,106.456,,All vaccinations
20210430,S92000003,1 - Care Home Staff,50000,,Dose 2,46772,93.544,,All vaccinations
20210430,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,364837,,z,All vaccinations
20210430,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,307355,,z,All vaccinations
20210430,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95362,90.8105740296347,,All vaccinations
20210430,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,84567,80.5307964804022,,All vaccinations
20210430,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97379,82.5490611622091,,All vaccinations
20210430,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,79192,67.1317763743483,,All vaccinations
20210430,S92000003,4 - Clinically Extremely Vulnerable,181961,,Dose 1,171997,94.5241013184144,,All vaccinations
20210430,S92000003,4 - Clinically Extremely Vulnerable,181961,,Dose 2,134616,73.9806881694429,,All vaccinations
20210430,S92000003,6 - 16 to 64 year olds with underlying health conditions,763021,,Dose 1,663229,86.9214608772236,,All vaccinations
20210430,S92000003,6 - 16 to 64 year olds with underlying health conditions,763021,,Dose 2,158619,20.7882876093843,,All vaccinations
20210430,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 1,197534,,z,All vaccinations
20210430,S92000003,6 - Unpaid Carers aged 16 and over,,:,Dose 2,12638,,z,All vaccinations
20210501,S92000003,1 - All Care Home Residents,,:,Dose 1,35258,,z,All vaccinations
20210501,S92000003,1 - All Care Home Residents,,:,Dose 2,31087,,z,All vaccinations
20210501,S92000003,1 - Care Home Residents - Older Adults,28568,,Dose 1,27715,97.0141416970036,,All vaccinations
20210501,S92000003,1 - Care Home Residents - Older Adults,28568,,Dose 2,26053,91.1964435732288,,All vaccinations
20210501,S92000003,1 - Care Home Staff,50000,,Dose 1,53247,106.494,,All vaccinations
20210501,S92000003,1 - Care Home Staff,50000,,Dose 2,46825,93.65,,All vaccinations
20210501,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 1,365015,,z,All vaccinations
20210501,S92000003,2 - Any Frontline Health and Social Care Worker,,:,Dose 2,307899,,z,All vaccinations
20210501,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 1,95373,90.8210490229688,,All vaccinations
20210501,S92000003,2 - Specified Frontline Health Care Workers,105012,,Dose 2,84680,80.638403230107,,All vaccinations
20210501,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 1,97432,82.5939897427203,,All vaccinations
20210501,S92000003,2 - Specified Frontline Social Care Workers,117965,,Dose 2,79377,67.2886025516043,,All vaccinations
